,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
ZBTB5,0.0,0.0,0.0,-0.005549651758839529,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029972318636273814,0.0001198349164536588,0.0,0.0,0.0
CPNE2,0.0,0.0,0.0,-0.00400494956050862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX31,0.0,0.0,0.0,-0.0018068304607620166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017627645137403348,0.0
ZNF589,0.0,0.0,0.0,-0.0006835171014845258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022153719180439658,0.0,0.0,0.0
SCN3A,0.0,0.0,0.0,-0.000303070047838326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCNA,0.0,0.0,0.0,-0.0005170479939601768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMPPE,0.0,0.0,0.0,-0.0008630748831330788,0.0,-0.0005678410999126323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002365165962446285
PLEK2,0.0,0.0,0.0,-0.0003551455888550597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEC3B,0.0,0.0,0.0,-0.00033563761395362536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006558209943679257
DYNLRB2,0.0,0.0,0.0,-9.875939715213583e-05,0.0,0.0,0.0,0.0,-0.0006340692098678501,0.0,0.0,0.0,0.0,0.0,0.0
CPSF6,0.0,0.0,0.0,-0.005013429077224393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPA1,0.0,0.0,0.0,-0.002924606257404108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRELID3A,0.0,0.0,0.0,-0.0031844425096571437,0.0,-0.0015865572196071575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKMT2,0.0,0.0,0.0,-0.000543910740624026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDAP1,0.0,0.0,0.0,-0.00021627550777324087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF177,0.0,0.0,0.0,-0.0019956601031245586,0.0,0.0,0.0,0.0,0.0,0.0,0.00023937995450020328,0.0,0.0,0.0,0.0
CEBPA,0.0,0.0,0.0,-0.0003661467020677338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABRA2,0.0,0.0,0.0,-0.0008403142940739546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002849494573502525
ATAD3A,0.0,0.0,0.0,-0.0013065665563978565,0.0,0.0,0.003322259136212568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D5,0.0,0.0,0.0,0.009312102040063275,0.0,0.0,-0.004648514888060879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMA7A,0.0,0.0,0.0,-0.001764287241716105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02813059963385848,-0.00646522525876947
PDK2,0.0,0.0,0.0,-0.003393689343695963,0.0037878787878787763,0.0,0.0,0.0,-0.0008333195181139246,0.0,0.0,-0.001982741798310978,0.0,0.0,0.0
WNK4,0.0,0.0,0.0,-0.00041511096095151454,0.0,0.0,0.0,-0.004485470239978325,0.0,0.0,0.0,0.0,0.0,0.007020622909337129,-0.0009385980239300932
GSTCD,0.0,0.0,0.0,-0.001140064353229604,0.0,0.0,-0.00635259742767936,0.0,0.0,0.0,-0.0021774125131802722,-0.001888331859155731,0.0,0.0,0.0
SASH1,0.0,0.0,0.0,-0.003222075151655928,0.0,0.04918218660138319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTS2,0.0,0.0,0.0,-0.001033295862957182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001771672854220118,-0.0038173069525103943,0.0,0.0
